image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
khartoum_215,Khartoum,456,DeepLabv3+ ResNet50,0.6001336329976302,0.75010439205956,0.24853168470635204
khartoum_216,Khartoum,456,DeepLabv3+ ResNet50,0.4492624050116293,0.6199876619394202,0.27125923382114314
khartoum_217,Khartoum,456,DeepLabv3+ ResNet50,0.16020620403534908,0.27616850087126016,0.09276400413858416
khartoum_218,Khartoum,456,DeepLabv3+ ResNet50,0.5195221739581788,0.6837967656694138,0.2925474591756091
khartoum_219,Khartoum,456,DeepLabv3+ ResNet50,0.3920985320301599,0.5633200854794925,0.11513248499358159
khartoum_22,Khartoum,456,DeepLabv3+ ResNet50,0.4910569769188517,0.658669634386942,0.21980389783508097
khartoum_220,Khartoum,456,DeepLabv3+ ResNet50,0.3432790224049306,0.5111060571611116,0.14550364569729676
khartoum_221,Khartoum,456,DeepLabv3+ ResNet50,0.27934428622318774,0.43669915789063507,0.17233582383147802
khartoum_222,Khartoum,456,DeepLabv3+ ResNet50,0.476624569155508,0.6455595811030791,0.28675875052144834
khartoum_223,Khartoum,456,DeepLabv3+ ResNet50,0.275279156328135,0.4317159187648049,0.1392439619746608
khartoum_224,Khartoum,456,DeepLabv3+ ResNet50,0.4164460728932624,0.5880154294084132,0.21473563158410036
khartoum_225,Khartoum,456,DeepLabv3+ ResNet50,0.4255219542193567,0.5970051221725868,0.17792002571286136
khartoum_226,Khartoum,456,DeepLabv3+ ResNet50,0.31268749542744373,0.4764081268640916,0.14186944118284633
khartoum_227,Khartoum,456,DeepLabv3+ ResNet50,0.3705649022027351,0.5407476896671785,0.17742701708807382
khartoum_228,Khartoum,456,DeepLabv3+ ResNet50,0.49468683469269664,0.6619270648680674,0.219564537677696
khartoum_229,Khartoum,456,DeepLabv3+ ResNet50,0.6372086680837294,0.7784086176741591,0.2908779461842389
khartoum_23,Khartoum,456,DeepLabv3+ ResNet50,0.3015143154968946,0.4633284657804733,0.1685443893720726
khartoum_230,Khartoum,456,DeepLabv3+ ResNet50,0.33275391541773236,0.4993478714530737,0.07982233502927318
khartoum_231,Khartoum,456,DeepLabv3+ ResNet50,0.16261360288379914,0.27973800148224126,0.0844262795151319
khartoum_233,Khartoum,456,DeepLabv3+ ResNet50,0.30042918455166584,0.46204620462182777,0.11823673903526365
khartoum_234,Khartoum,456,DeepLabv3+ ResNet50,0.20170842118442003,0.33570276720720416,0.12289222374045596
khartoum_235,Khartoum,456,DeepLabv3+ ResNet50,0.31544089000535436,0.47959720942511547,0.16650778005919226
khartoum_236,Khartoum,456,DeepLabv3+ ResNet50,0.3615722656254871,0.5311099157255631,0.18373204154221487
khartoum_237,Khartoum,456,DeepLabv3+ ResNet50,0.2681535726237364,0.4229039422547037,0.13402142263120315
khartoum_238,Khartoum,456,DeepLabv3+ ResNet50,0.5737755872300122,0.7291707812545358,0.1734107607720562
khartoum_239,Khartoum,456,DeepLabv3+ ResNet50,0.542045198956041,0.7030211557000513,0.23976659888716034
khartoum_24,Khartoum,456,DeepLabv3+ ResNet50,0.3898963730579032,0.561043802423583,0.2229777777795045
khartoum_240,Khartoum,456,DeepLabv3+ ResNet50,0.5219005759325032,0.6858537071156446,0.19184828324662867
khartoum_241,Khartoum,456,DeepLabv3+ ResNet50,0.5259939894302325,0.6893788482436245,0.2155191300380101
khartoum_244,Khartoum,456,DeepLabv3+ ResNet50,0.35544482508379815,0.5244696331487919,0.12316315710405118
khartoum_245,Khartoum,456,DeepLabv3+ ResNet50,0.28089433488705845,0.4385909551415534,0.14332111053056867
khartoum_246,Khartoum,456,DeepLabv3+ ResNet50,0.28407134747228496,0.44245414872152306,0.1906928645318638
khartoum_247,Khartoum,456,DeepLabv3+ ResNet50,0.2752843894549424,0.4317223542152526,0.13206312863008904
khartoum_248,Khartoum,456,DeepLabv3+ ResNet50,0.30769971620503406,0.47059689987211084,0.12138728323826391
khartoum_249,Khartoum,456,DeepLabv3+ ResNet50,0.4847882732286878,0.653006602987649,0.21917226469149262
khartoum_25,Khartoum,456,DeepLabv3+ ResNet50,0.37860763598610947,0.5492609007854641,0.20097061202695882
khartoum_250,Khartoum,456,DeepLabv3+ ResNet50,0.5111403524374423,0.676496199195314,0.20071246031255216
khartoum_251,Khartoum,456,DeepLabv3+ ResNet50,0.4889069210531223,0.6567326864287428,0.19366176029079704
khartoum_253,Khartoum,456,DeepLabv3+ ResNet50,0.10301697221710363,0.18679127304751594,0.17462590745629597
khartoum_254,Khartoum,456,DeepLabv3+ ResNet50,0.11350137621966173,0.20386391726270822,0.054375686570355394
khartoum_255,Khartoum,456,DeepLabv3+ ResNet50,0.2399712518691204,0.38705937981515376,0.1378995721144667
khartoum_256,Khartoum,456,DeepLabv3+ ResNet50,0.4091092413609497,0.5806636268534172,0.1608149938532824
khartoum_257,Khartoum,456,DeepLabv3+ ResNet50,0.5563934771859161,0.7149779093032496,0.2703598129681815
khartoum_258,Khartoum,456,DeepLabv3+ ResNet50,0.579045208243109,0.7334118177493341,0.2537137268800416
khartoum_259,Khartoum,456,DeepLabv3+ ResNet50,0.39694792518901567,0.5683074050668443,0.1903220030451665
khartoum_26,Khartoum,456,DeepLabv3+ ResNet50,0.415659606417153,0.5872310045899162,0.20083142202025797
khartoum_260,Khartoum,456,DeepLabv3+ ResNet50,0.5176291372390549,0.6821549804725079,0.21199205284652145
